# 전체 번역 때 추출 필터(반각 가나·ESC 제어 코드·3자 이하)에 걸려 빠졌던 실행파일 문자열 (2026-09-19 사용자 스크린샷으로 발견)
# {ESC} = 제어 코드 0x1B. ESC[25b..ESC[b = 이름 강조색, ESC[30m / ESC[7m / ESC[m = 색·반전
# 오른쪽 아래 조작 안내 「START ﾀｲﾄﾙ画面」: 반각 가나라 폭 8칸 → 한글 3자(6칸)
0x352C28	타이틀
# 등용·방침결정 창 오른쪽 위 「到着予定 16日」
0x353590	{ESC}[30m도착예정{ESC}[7m %3d{ESC}[30m일{ESC}[m
0x3535B0	{ESC}[30m도착예정    일{ESC}[m
# 챌린지 모드 정보 「兵法P」(병법 포인트)
0x354FE0	병법P
# 아이템 유래 (인물·장소)
0x354120	{ESC}[25b태공망{ESC}[b・조어대
0x354138	{ESC}[25b장량{ESC}[b
0x354150	초・{ESC}[25b장왕{ESC}[b
0x354168	{ESC}[25b굴원{ESC}[b
0x354178	{ESC}[25b자산{ESC}[b
0x354188	{ESC}[25b개자추{ESC}[b
0x354198	{ESC}[25b항우{ESC}[b
0x3541D8	{ESC}[25b전단{ESC}[b
0x3541E8	{ESC}[25b양유기{ESC}[b
0x3541F8	{ESC}[25b이광{ESC}[b
0x354208	{ESC}[25b손빈{ESC}[b
0x354218	{ESC}[25b태공망{ESC}[b
0x354228	{ESC}[25b황석공{ESC}[b
0x354240	{ESC}[25b사마양저{ESC}[b
0x354258	{ESC}[25b오기{ESC}[b
0x354268	{ESC}[25b신릉군{ESC}[b
0x354278	{ESC}[25b관중{ESC}[b
0x354288	{ESC}[25b안영{ESC}[b
0x354298	{ESC}[25b상앙{ESC}[b
0x3542A8	{ESC}[25b여불위{ESC}[b
0x3542C0	회남왕・{ESC}[25b유안{ESC}[b
0x3542D8	{ESC}[25b공구{ESC}[b
0x3542E8	{ESC}[25b노자{ESC}[b
0x3542F8	{ESC}[25b장주{ESC}[b
# 새로 지은 시설·도시의 기본 읽기(루비). 루비는 반각 가나 전용 글꼴이라 다른 읽기처럼 비운다
0x354028	
0x354030	
0x354038	
0x354040	
0x354048	
0x354050	
0x354058	
0x354060	
0x354068	
0x354070	
0x355738	
